,bot,human
0,A3RQN5RZD1N2KP,
1,"hello, i understand you are looking for a movie to see.","Hi, Id love to see a movie"
2,what genre of movies do you enjoy the most?,scary movies
3,"hmm, probably thrillers for me, i love the suspense.","suspense is also great, what kind of thrillers do you like?"
4,i like horror movies the most,"me too, horror movies are my favorite"
5,like the hobbit?,"the hobbit is great, but not too scary"
6,"i like thrillers with a bit of romance, to counter out all the death and drama.",that is great what kind of movie could you recommend?
7,"i like horror movies too, would you like to watch this movie trailer?",what trailer is that?
8,"if you like horror movies check out the silence of the lambs, and especially stay safe my dear",accept
9,TASK COMPLETE,
10,,
11,A39VDI1CVOMMIN,
12,"hello, im here to help you","Thank you, can you recommend a movie"
13,im a big fan of romantic comedies myself,What one would you recommend?
14,what do you normally like?,Sci fi
15,rocky horror picture show and shrek are always great comedies for romantic comedies,[accept]
16,TASK COMPLETE,
17,,
18,A8C3WNWRBWUXO,
19,hi! how are you today?,"Well, and you?"
20,im good. thank you for asking. im here to help you find a good movie,"Well, I do like a good intelligent drama."
21,im doing well. what was the last good drama you saw?,The Prestige with Christian Bale.
22,thats my favorite drama. did you like it?,I found it engaging and instructive about its subject.  It also had a great ending.
23,i liked it too! would you like to see a movie with an ending similar to the prestige?,Definitely.
24,awesome! i saw that one too. have you seen the aftermath?,No
25,"yes, i did. it has the same plot as the prestige but focuses more on bette and daufords personal relationship.","I have not heard of it, I might give it a go."
26,"wonderful. i havent seen it either, but i love scott dauberghey!",accept
27,TASK COMPLETE,
28,,
29,A15VCKELIEEPJN,
30,hello,hi ther 
31,what can i help you with,can you recommend a movie?
32,of course,I like sci-fi
33,im a bit of a sci-fi fan myself!,cool 
34,cool what type of sci-fi?,space 
35,so would you like a film on space?,sure
36,rouge planet,yes
37,"ah so thats another movie that i would like to see, it is the sequel to 2010 staring tom cruise?",I would love to see that.
38,yeah i think hes in it.,got a link?
39,so you have to see the movie the trailer.,great
40,"yes i have seen the trailer for it,i think its the 3rd movie of the star wars franchise, i cant remember if he is in it or not",accept
41,TASK COMPLETE,
42,,
43,A1ROEDVMTO9Y3X,
44,hello,hello
45,hello,i need some romance movies
46,do you like romantic comedies?,yes
47,yes i love them,recommend some
48,i do love them as well,recommend some
49,i like romantic comedies,i love romantic comedies as well
50,hello i can recommend you some romantic comedies,i will be happy if you can do that
51,yes i would like that,thank you for that
52,no problem.,so name them for me
53,whats your favorite romantic comedy?,love comedy
54,well you can take the movie from the usa box office:  ,i will do just that
55,tell me some more movies you enjoy,i also enjoy action movies
56,nice i recommend the movie welcome to the jungle,bravo
57,do you know love is an Open Door that just came out,no...
58,have you ever watched 5 cent is worth a dollar bill?,not at all
59,i also like welcoming to the jungle movie but i dont know if i would put that in the same category as all the other romantic comedies.,i think i will watch first before i can decide
60,5 cent is about a guy who dates a woman in a different country for 3 years who hooks up with another man.His troubles from the country side make him holler back to his sweetheart for a month.,"wow, that stuff will be interesting to watch"
61,sounds like a good plan. will you watch this movie trailer?,i definitely will
62,if it has a good rating i will probably watch it.,okay
63,"i think i will, it sounds like an interesting watch, i think it might be in theaters until may too.",maybe
64,sounds like a good plan! i hope you enjoy it.,yeah
65,Task Finished!,
66,,
67,A1K8QNLYYYX21W,
68,hi!,Hello
69,do you know what type of movies is good to go to the movies?,I liked the new Star-Wars movie
70,oh! nice! what did you like about the new star wars movie?,It had a good story line and is sci-fi/fantasy which I like.
71,i like the whole concept and concept art and from what i heard it does not disappoint.,no it didnt
72,sounds great! what was the latest movie youve seen in theaters?,Bad Boys for Life
73,have you ever watched the recent joker movie,no i havent
