,pre_kind_of_movies,pre_favorite_movies,pre_favorite_actors,pre_favorite_directors,blue_recommend_,blue_preference,blue_consistent,blue_natural,blue_engaging,blue_persuasive,blue_sociable,blue_boring,cyan_recommend_,cyan_preference,cyan_consistent,cyan_natural,cyan_engaging,cyan_persuasive,cyan_sociable,cyan_boring,yellow_recommend_,yellow_preference,yellow_consistent,yellow_natural,yellow_engaging,yellow_persuasive,yellow_sociable,yellow_boring,green_recommend_,green_preference,green_consistent,green_natural,green_engaging,green_persuasive,green_sociable,green_boring,red_recommend_,red_preference,red_consistent,red_natural,red_engaging,red_persuasive,red_sociable,red_boring,survey_4_kind_of_movies,worker_id,blue_length,cyan_length,yellow_length,green_length,red_length
0,"['Horror movies', 'Action movies', 'Sci-fi movies']","Halloween
Nightmare on Elm Street
Lethal Weapon
Legally Blond
Blair Witch","Owen Wilson
Keanu Reeves
Denzel Washington
Will Smith","John Woo
John Carpenter
James Cameron",Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,3,3,3,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,5,3,4,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,3,3,4,2,3,2,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,3,4,4,2,4,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,5,5,3,5,1,"['Horror movies', 'Action', 'Sci-fi movies']",A3RQN5RZD1N2KP,9,8,15,10,9
1,"['Action movies', 'Comedy movies', 'Sci-fi movies']",Harry potter and the deathly hallows part 2,chris hemsworth,George lucas,Yes,Blue Bot recommended a movie and it fits my personal preferences.,2,1,2,1,1,5,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,3,2,3,2,3,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,4,4,4,3,Yes,Green Bot recommended a movie and it fits my personal preferences.,3,4,3,3,4,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,3,4,4,3,4,"['Action', 'Comedy movies', 'Sci-fi movies']",A39VDI1CVOMMIN,22,5,6,6,5
2,"['Sci-fi movies', 'Drama movies']","Sunshine
Batman Begins
Inception
Prestige",Christian Bale,Michel Gondry,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,3,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,3,3,3,2,3,3,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,3,2,2,2,3,3,No,Green Bot didn't recommend a movie.,1,1,1,1,2,4,Yes,Red Bot recommended a movie and it fits my personal preferences.,2,2,2,4,3,2,"['Sci-fi movies', 'Drama movies']",A8C3WNWRBWUXO,8,17,8,9,9
3,"['Action movies', 'Mystery movies', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']","The Godfather, Rocky, Star Wars ","Harrison Ford, Denzel Washington, Will Ferrel ",Stanley Krubrick,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,5,3,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,4,5,5,4,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,2,2,3,3,2,2,Yes,Green Bot recommended a movie and it fits my personal preferences.,5,4,4,5,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,"['Action', 'Comedy movies', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A15VCKELIEEPJN,13,13,16,12,12
4,"['Action movies', 'Comedy movies', 'Mystery movies', 'Horror movies']",once upon a time in hollywood,johnny depp,phil,Yes,Blue Bot recommended a movie and it fits my personal preferences.,4,4,4,3,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,5,5,5,5,5,1,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,5,5,3,3,3,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,4,3,5,3,5,1,Yes,Red Bot recommended a movie and it fits my personal preferences.,4,3,5,3,4,2,['Comedy movies'],A1ROEDVMTO9Y3X,4,7,5,5,22
5,"['Action movies', 'Mystery movies', 'Comedy movies', 'Sci-fi movies']","Interstellar, Hackers, Star Wars","Sean Connery, Robert Redford",James Cameron,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,3,4,3,4,2,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,4,5,4,3,5,1,Yes,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,4,4,4,2,4,1,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,2,4,2,1,4,2,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,1,3,4,4,4,1,"['Action', 'Comedy movies', 'Sci-fi movies', 'Mystery movies']",A1K8QNLYYYX21W,8,11,11,10,11
6,['Action movies'],horor movies,ajith,sasikumar,Yes,Blue Bot recommended a movie and it fits my personal preferences.,3,2,4,2,4,2,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,2,3,2,4,2,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,2,4,2,4,3,2,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,4,2,4,2,3,2,Yes,Red Bot recommended a movie but it doesn't fit my personal preferences.,2,4,1,4,2,3,"['Comedy movies', 'Horror movies', 'Mystery movies', 'Action', 'Documentary movies', 'Drama movies', 'Sci-fi movies']",A2P065E9CYMYJL,23,22,22,22,22
7,"['Comedy movies', 'Mystery movies', 'Drama movies']",Inception,Leonardo Dicaprio,Christopher Nolan,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,4,5,4,4,1,No,Cyan Bot didn't recommend a movie.,2,2,2,2,4,2,Yes,Yellow Bot recommended a movie and it fits my personal preferences.,4,3,4,5,4,1,Yes,Green Bot recommended a movie and it fits my personal preferences.,2,2,4,3,4,2,Yes,Red Bot recommended a movie and it fits my personal preferences.,3,3,4,4,3,2,"['Action', 'Comedy movies', 'Drama movies']",AQ9Y6WD8O72ZC,13,5,16,10,18
8,"['Mystery movies', 'Horror movies', 'Comedy movies']",Da-vince code,Johny deep,James Cameron,Yes,Blue Bot recommended a movie but it doesn't fit my personal preferences.,2,5,3,2,4,1,Yes,Cyan Bot recommended a movie but it doesn't fit my personal preferences.,2,2,4,3,3,4,No,Yellow Bot recommended a movie but it doesn't fit my personal preferences.,4,2,3,4,2,2,Yes,Green Bot recommended a movie but it doesn't fit my personal preferences.,4,2,2,4,3,4,Yes,Red Bot recommended a movie and it fits my personal preferences.,2,5,4,4,3,4,"['Horror movies', 'Mystery movies', 'Comedy movies']",A3VHNIFFP8Y9H7,15,16,8,4,16
9,"['Action movies', 'Mystery movies', 'Comedy movies']",Mission Impossible 4,Tom Cruise,Christopher Nolan,Yes,Blue Bot recommended a movie and it fits my personal preferences.,5,5,4,5,4,1,Yes,Cyan Bot recommended a movie and it fits my personal preferences.,4,5,5,4,5,1,No,Yellow Bot didn't recommend a movie.,5,5,5,4,5,1,No,Green Bot didn't recommend a movie.,4,5,5,4,5,1,No,Red Bot didn't recommend a movie.,5,5,5,4,5,1,"['Action', 'Mystery movies', 'Drama movies']",A2OR46JV43TOJV,4,11,4,4,5
