,bot,human
0,A3RQN5RZD1N2KP,
1,"hello, how are you?","Hi, Im great. How are you?"
2,im doing great! what type of movie do you like to watch?,I love horror movies
3,antlers,what about antlers?
4,thats my favorite!,whats antlers about?
5,it is a kind of a romance drama,"That doesnt sound interesting, is there another movie choice you have?"
6,Have you seen Antlers?,No I havent seen it
7,have you seen any other movie,I recently watched Halloween
8,okay. what did you like most about halloween,the suspense
9,did you like the story?,the thrill of escaping the killer
10,okay. what do you like most about the movie?,the music
11,i love the score.,"yes me too, is there another movie you can reccomend?"
12,I am recommending Like a Boss.,what movie?
13,i will recommend like a boss,what is like a boss?
14,I am recommending Bad Boys for Life.,accept
15,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
16,,
17,A39VDI1CVOMMIN,
18,"hello, how are you doing?","Im good, how are you?"
19,im good. what kind of movies do you like?,Sci fi movies
20,oh really? did you see the movie last year with oscar isaac,Which one?
21,the movie? it was called the post,"I havent, but I like that actor"
22,I would recommend Like a Boss.,[accept]
23,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
24,,
25,A8C3WNWRBWUXO,
26,hello,Hi.
27,what kind of movies do you enjoy watching,"Sci-Fi and drams, intelligent though."
28,hmm... have you seen bloodshot,"I have not, mainly because it doesnt suit me."
29,ok that is fine. do you like transformers by chance?,"I watched one or two of them, but they did not engage me."
30,well they both have very good characters. star wars: the rise of skywalker is what i would recommend for you.,"Is there another recommendations, something with a little more depth?"
31,I would recommend Bloodshot.,I really dont think that would suit me.
32,okay i recommend star wars: the rise of skywalker,accept
33,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/KB_uCjht0nA Thanks for chatting with me!",
34,,
35,A15VCKELIEEPJN,
36,hello! i am here to help you looking for a movie trailer.,hi
37,what type of movie genre do you like?,Sci-Fi
38,what is your favorite sci-fi movie?,Star Wars
39,mutants do you like the newest new mutants,No
40,hmm. have you watched the newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest newest new,?
41,Have you seen Bloodshot?,No
42,whats that about,Is it horror?
43,yes its horror,I dont like horror.
44,its still the best horror movie ive seen recently. what about you?,Dont care for horror.
45,how about action movies?,Sure
46,I am recommending Like a Boss.,Whats the plot?
47,one of those type of movies.,Is it funny?
48,"yes, it is",Accept
49,thank you!,thank you 
50,youre welcome!,quit
51,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
52,,
53,A1ROEDVMTO9Y3X,
54,"hello, how are you?",hello can i have some adventure movie trailor
55,you sure can!,yes need to wqatch some
56,ok great,recommend some for me
57,I am recommending Jungle Cruise.,accept
58,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/FF932ZU6Kn4 Thanks for chatting with me!",
59,,
60,A1K8QNLYYYX21W,
61,hello,"Hello, how are you today?"
62,i am doing great. you?,Im doing well also.
63,did you see any good movies lately?,I recently watched the new Star-Wars movie. It was great
64,what was your favorite character?,I always liked Luke
65,he is great. thats why i asked. who is your favorite character?,My favorite character was Ray
66,i always enjoy movies with ray bolger,Do you have any good movie recommendations?
67,Have you seen Like a Boss?,"No, what type of movie is it?"
68,"its about fictional superheros, it was great movie to watch on the flight.",Is there a trailer I could watch?
69,you can watch the trailers on youtube.,Ok I will check it out. Thanks!
70,youre welcome. enjoy the movie.,[accept]
71,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
72,,
73,A2P065E9CYMYJL,
74,"hello, how are you doing today?",watching tv
75,how are you enjoying it?,yes i enjoy it
76,glad to hear it.,yes
77,what type of tv shows do you like?,comedy
78,like a boss is an great comedy,ok
79,like a boss has julia louis-dreyfus sable as a crazy boss,ok
80,bad boys for life,yes
81,I would recommend Like a Boss.,ok
82,"so, do you want to watch this movie trailer?",yes
83,"ok, have fun.",yes
84,ok. have a great evening.,ok have a great evening
85,you too,ok
86,you too,you too
87,ok sounds great.,ok sounds great
88,ok sounds great,ok sounds great
89,ok sounds great,bye
90,im here to help you look for a movie trailer,no
91,ok sounds good,bye
92,i think youll really like this movie.,yes i really like it
93,how many pixels do you think there are in the movie?,4
94,wow it looks amazing. sounds like its gonna be a great movie.,yes
95,Task Finished!,
96,,
97,AQ9Y6WD8O72ZC,
98,"hello, how are you doing today?",Im good
99,"great, how is your day?",All good
100,what movie did you see today?,skyfall
