,bot,human
0,A3RQN5RZD1N2KP,
1,hello how are you?,"Hi, Im great. How are you?"
2,im great as well!,Excellent
3,im here to help you look for a movie trailer.,"Awesome, Id like something scary"
4,nice. what kind of scary movies do you like?,horror movies are my favorite
5,i love underwater and the original underwater,what is underwater?
6,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",who directed this movie?
7,it was directed by adam weckler. i think you will really like this movie.,accept
8,"TASK COMPLETE, Thanks for chatting with me!",
9,,
10,A39VDI1CVOMMIN,
11,hello!,Hello
12,how,Could you recommend me a good movie?
13,Have you seen Like a Boss?,"I havent, whats it about?"
14,it is about the brazilian soccer team and their strategy for winning a title.,[accept]
15,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
16,,
17,A8C3WNWRBWUXO,
18,hello! i am here to help you looking for a movie trailer.,Do you need anything from me?
19,"yes, do you know the type of movie trailers you want to see?",I like dramas with surprise endings.
20,good to know. whats your favorite actor?,Christian Bale.
21,"good choice. i see you love drama drama, bloodshot did you see that in the theater?","I know that one, it does not suit me."
22,its a good movie. youll love it!,Really? Sounds like an action movie to me.
23,gods of egypt,Whats that one about?
24,"an alien race comes to earth and tears apart our government, then the aliens land on the mainland. its very popular, probably because of how it looks.",Anything a little more cerebral?
25,I recommend the movie Avengers: Endgame.,"Again, its an action movie."
26,"oh yeah, thats right!",Another recommendation?
27,I am recommending Like a Boss.,Tell me about it.
28,"its a quintin tarantino movie. the last tarantino flick was godfather, have you seen them?",No.
29,you should definitely check it out,Ill give it a go.
30,what was the last movie you watched?,Prestige.
31,this movie has also been mentioned to me. have you seen the sequel?,No
32,how about the original?,Yes.
33,what about the 3rd one?,accept
34,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
35,,
36,A15VCKELIEEPJN,
37,hello!,hi
38,do you like to watch movies,yes 
39,what movies do you like the most,Sci-Fi
40,what was the last movie you watched?,Prometheus
41,I would recommend Bloodshot.,OK
42,ok great,What is Bloodshot?
43,a movie. it was too good to pass up.,Is it horror? 
44,yes it is,Dont care for horror 
45,then what do you like?,Sci-Fi but not horror
46,Have you seen Like a Boss?,Is that Sci-Fi
47,yes it is.,Cool 
48,how about you,accept
49,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
50,,
51,A1ROEDVMTO9Y3X,
52,"hello, how are you doing?",hi
53,"well, im here to help you find the best movie to watch.","yes, find some rom com movie"
54,how about a rom com movie?,yes i need it
55,Have you seen Like a Boss?,no
56,it is a good movie to watch when you are sad.,recommend some good movie
57,I am recommending Bad Boys for Life.,accept
58,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/F9x4cb7P-hI Thanks for chatting with me!",
59,,
60,A1K8QNLYYYX21W,
61,hello,"Hello, how are you doing?"
62,i am doing great today,Excellent. Im looking for a recommendation on a movie.
63,what type of movies do you like?,"I like sci-fi, comedy, and action movies."
64,i just recently watched avengers: endgame,Oh yes that was a great movie. Are there any other movies like that you would recommend?
65,Have you seen Avengers: Endgame?,Yes Ive seen that movie.
66,i would recommend the trailers for that movie.,Are there any other recommendations you have?
67,Have you seen Like a Boss?,No.
68,you should really check that out. its my favorite movie.,What genre is that movie?
69,its a disney-type movie. really fun and worth watching.,Ok Ill check it out. Thanks
70,no problem. have fun watching it!,[accept]
71,"TASK COMPLETE, movie trailor link: www.youtube.com/watch/xOQioNJZ_qc Thanks for chatting with me!",
72,,
73,A2P065E9CYMYJL,
74,hello how are you doing?,watching tv
75,"i see, do you prefer movies or tv series?",movie
76,I am recommending Like a Boss.,yes
77,i see. have you seen,yes
78,Have you seen Bad Boys for Life?,no
79,bad boys for life is a very good movie,no
80,I would like to recommend Onward.,okey
81,bad boys for life is a classic movie and i think you will love it.,yes
82,I would like to recommend The Kings Man.,i like it
83,i think you will like it. i think you are going to love it.,no only i like it
84,i can recommend other movies too,okey
85,yes,yes
86,when it comes to movies about kings. i love christian movies the best,yes i like christian movie
87,I am recommending Trolls World Tour.,yes
88,when it comes to movies about kings i like trolls world tour.,okey
89,okay good talk,bye
90,good talk,okey
91,have a nice day,have a nice day
92,ok so who would you like to see the movie,yes
93,ok so who are your favorite actors,Kevin Spacey
94,ok so if you could have a movie on any hero what would you want it to be about,ok
95,Task Finished!,
96,,
97,AQ9Y6WD8O72ZC,
98,"hello, how are you doing?",Im good
99,what type of movies do you like?,i like action movies
100,i like action movies too. what was the last one you watched?,Ready Player 1
